id,title,category,commits,mini_srs,confidence_score,src_loc,start_time,end_time,loc,additions,deletions,src_additions,src_deletions,touched_test_files,touched_src_files
M010,SSE Routes Support with Timeout Handling,Feature,6edfce6;19fec36;0f2b589;75cebb6;0be63c3;25f37ca;cf55a88;a44954a;4408841,This milestone adds Server-Sent Events (SSE) support to the REST framework through the WithSSE route option. The feature sets proper SSE headers and fixes WriteTimeout conflicts by clearing write deadlines for SSE connections.,0.85,175,2025-03-22T13:38:13+08:00,2025-10-02T13:34:44+00:00,271,185,86,137,38,,rest/engine.go;rest/handler/loghandler.go;rest/httpc/requests.go;rest/httpx/responses.go;rest/httpx/vars.go;rest/internal/header/headers.go;rest/internal/response/withcoderesponsewriter.go;rest/server.go;rest/types.go
M011,REST Serverless Deployment Support,Feature,c9ff6a1,This milestone enables the REST framework to run in serverless environments by introducing the Serverless wrapper and associated server methods. The implementation adds NewServerless constructor and Serve method for handling individual HTTP requests.,0.90,37,2025-07-13T00:00:52+08:00,2025-07-13T00:00:52+08:00,37,37,0,37,0,,rest/server.go;rest/serverless.go
M012,MongoDB Go Driver v2.0 Migration,Maintenance,be7f939;25821bd;1ebbc6f;2026d44;bfddb9d;b41b1b0,"This milestone migrates MongoDB Go driver from v1.x to v2.0, including API updates, mock infrastructure, and test migrations.",0.94,1621,2024-03-02T15:13:44+00:00,2025-08-09T23:51:44+08:00,2016,1691,325,1475,146,,core/errorx/check.go;core/limit/tokenlimit.go;core/stores/mon/bulkinserter.go;core/stores/mon/clientmanager.go;core/stores/mon/collection.go;core/stores/mon/collection_inserter_mock.go;core/stores/mon/collection_mock.go;core/stores/mon/collectioninserter_mock.go;core/stores/mon/migration-2.0.md;core/stores/mon/model.go;core/stores/mon/model_mock.go;core/stores/mon/options.go;core/stores/mon/trace.go;core/stores/monc/cachedmodel.go;core/stores/monc/migration-2.0.md;core/stores/redis/redis.go;core/stores/sqlx/sqlconn.go
M013,Consistent Hash Balancer for zRPC,Feature,e30317e,"This milestone delivers consistent hash load balancing support for zRPC clients, enabling session affinity and stateful service routing. The feature implements a custom gRPC balancer using consistent hashing based on context hash keys.",0.88,122,2025-10-19T14:10:30+00:00,2025-10-19T14:10:30+00:00,122,118,4,118,4,,zrpc/client.go;zrpc/config.go;zrpc/internal/balancer/consistenthash/consistenthash.go;zrpc/internal/client.go
M014,Continuous Profiling Support,Feature,22a41ca;28a001c;d99cf35;f037bf3;a99c14d;ede7e68;94edc32,"This milestone delivers continuous profiling capabilities integrated with Pyroscope for production observability. The feature enables automatic CPU, memory, goroutine, mutex, and block profiling with configurable thresholds and adaptive activation.",0.90,461,2023-11-24T21:27:05+08:00,2025-06-12T08:28:44+00:00,616,451,165,373,88,,core/collection/ring.go;core/proc/shutdown.go;core/proc/signals.go;core/prof/profilecenter.go;core/service/serviceconf.go;internal/profiling/profiling.go
M015,FreeBSD Platform Support,Platform,0bc4206,"This milestone delivers FreeBSD platform compatibility for go-zero core modules by adding freebsd build tags to platform-specific files, enabling go-zero applications to compile and run on FreeBSD systems.",0.85,10,2025-01-28T11:11:49+08:00,2025-01-28T11:11:49+08:00,14,7,7,5,5,,core/fs/files.go;core/proc/goroutines.go;core/proc/profile.go;core/proc/shutdown.go;core/proc/signals.go
M016,Redis Feature Additions and Improvements,Feature,4003864;431f9af;0ee44c7;9763c8b;8e97c58;a5d2b97;37b54d1;2407396;9da76fb;dba444a;f52af1e;45be48a,"This milestone adds new Redis commands and fixes including ExistsMany, ZADDNX, Mset, GetDel, TxPipeline, consumer groups support, TTL fixes, and Redis v7 username authentication support.",0.85,368,2023-12-16T05:46:53+00:00,2025-08-02T13:36:08+00:00,409,334,75,309,59,,core/stores/redis/conf.go;core/stores/redis/redis.go;core/stores/redis/redisblockingnode.go;core/stores/redis/redisclientmanager.go;core/stores/redis/redisclustermanager.go;core/stores/redis/redislock.go
M017,Mapping and Unmarshaler Improvements,Quality,6ec38ec;0441f84;7822a4c;408827d;44d347d;e38cb01;88aab8f;040fee5;f10084a;0cac41a;f05234a;238c92a;cbcacf3;789c5de;4cacc4d;bca7bbc;95d5b81;d505fae;75941ae,"This milestone improves the mapping/unmarshaler subsystem with fixes for slice handling, float32 overflow, Unmarshaler interface support, duration type handling, and various edge case fixes.",0.82,152,2023-12-23T14:47:11+00:00,2025-11-16T20:36:49+08:00,402,241,161,116,36,,core/collection/cache.go;core/conf/config.go;core/mapping/marshaler.go;core/mapping/unmarshaler.go;core/mapping/utils.go;core/stores/sqlx/orm.go
M018,Logging System Enhancements,Feature,0f1d4c6;36088ea;74331a4;057bae9;075817a;424119d;3152581;64e8c94;5f54f06;20f56ae;896e1a2;962b36d;a32f6d7;84db9bc;8625864;bd2033e;de42f27;f11b78c;4e71e95,"This milestone enhances the logging system with custom field keys, sensitive data masking, multiple writer support, performance improvements, and various fixes for concurrency and formatting issues.",0.85,615,2024-02-17T14:55:48+08:00,2025-08-31T09:06:25+00:00,864,610,254,485,130,,core/logc/logs.go;core/logx/config.go;core/logx/logger.go;core/logx/logs.go;core/logx/richlogger.go;core/logx/rotatelogger.go;core/logx/sensitive.go;core/logx/vars.go;core/logx/writer.go;rest/handler/loghandler.go
M019,HTTP Request Response Improvements,Quality,3ef59f6;3866b57;18cb314;53a7475;2588a36;64d430d;5dd9342;93c11a7;63ec989;80573af;f57874a;28cb2c5;e9e5512,"This milestone improves HTTP request/response handling with support for array fields, stream responses, CORS headers customization, form data improvements, and memory usage optimizations.",0.83,219,2024-02-17T07:06:45+00:00,2025-07-31T11:53:40+00:00,599,393,206,178,41,,core/mapping/fieldoptions.go;core/mapping/marshaler.go;core/mapping/unmarshaler.go;core/mapping/utils.go;rest/handler/contentsecurityhandler.go;rest/handler/loghandler.go;rest/handler/timeouthandler.go;rest/httpx/requests.go;rest/httpx/responses.go;rest/httpx/util.go;rest/internal/cors/handlers.go;rest/server.go;zrpc/internal/rpclogger.go;zrpc/resolver/internal/resolver.go;zrpc/resolver/register.go
M020,Code Quality and Modernization,Maintenance,072d68f;82fe802;b109b3e;f0a3d21;3c9b633;bf6ef5f;a8ccda0;c4e1a6a;bc43df2;dedba17;8689a62;03b6e37;ec41880;c220b5d;eb14d13,"This milestone modernizes the codebase using Go standard library improvements including official slice operations, sync.OnceFunc, builtin cmp functions, generic TypedSet, and collection package refactoring.",0.80,615,2023-11-23T15:44:33+00:00,2025-09-14T19:33:09+08:00,885,343,542,208,407,,core/breaker/breaker.go;core/collection/ring.go;core/collection/set.go;core/errorx/batcherror.go;core/fx/parallel.go;core/mapping/marshaler.go;core/mapping/unmarshaler.go;core/mapping/utils.go;core/mathx/int.go;core/mr/mapreduce.go;core/service/servicegroup.go;core/stringx/strings.go;core/syncx/once.go;core/utils/version.go;rest/handler/tracehandler.go;zrpc/internal/serverinterceptors/statinterceptor.go
M021,Service Infrastructure Improvements,Quality,919477f;0856348;0cafb11;39ce17b;b46d507;0d681a2,"This milestone improves service infrastructure including health check customization, devServer improvements, auto config validation, ImmutableResource fixes, and machine performance data optimization.",0.82,170,2023-12-16T06:25:02+00:00,2025-09-11T13:56:07+00:00,213,138,75,119,51,,core/conf/config.go;core/conf/validate.go;core/mapping/unmarshaler.go;core/prof/runtime.go;core/service/servicegroup.go;core/stat/usage.go;core/syncx/immutableresource.go;internal/devserver/server.go
M022,Trace and Observability Improvements,Quality,69bb746;a5ece25;83a776a;4e52d77;9d551d5,"This milestone improves tracing and observability with StopAgent panic fix, secure OTLP option, OpenTelemetry upgrades, and trace initialization improvements.",0.83,53,2023-12-17T12:26:48+08:00,2025-10-25T20:10:15+08:00,69,35,34,27,26,,core/proc/signals.go;core/service/servicegroup.go;core/trace/agent.go;core/trace/config.go;rest/handler/maxconnshandler.go
M023,SQL and ORM Improvements,Quality,9687274;030c859;520d2a2;c7dacb0;cc79e3d;c706517;dace520;f8437e6;ff89062;1023800,"This milestone improves SQL/ORM functionality with sqlx metrics, MySQL-specific metrics, WithAcceptable bug fix, field tag skip logic, zero value scanning fixes, and cached SQL partial support.",0.82,78,2024-01-14T02:38:10+00:00,2025-11-16T11:59:13+00:00,146,105,41,71,7,,core/stores/sqlc/cachedsql.go;core/stores/sqlx/metrics.go;core/stores/sqlx/mysql.go;core/stores/sqlx/orm.go;core/stores/sqlx/sqlconn.go;core/stores/sqlx/sqlmanager.go;internal/devserver/config.go;internal/devserver/server.go;internal/health/health.go
M024,RPC and Balancer Improvements,Quality,03756c9;b3cd8a3;775b105;9f8455d;d6c8768,"This milestone improves zRPC with server interceptor refactoring, breaker timeout triggers, P2C balancer documentation, and NonBlock default change following gRPC best practices.",0.82,216,2024-04-30T19:01:20+08:00,2025-10-26T12:56:34+00:00,236,125,111,115,101,,core/fx/stream.go;zrpc/client.go;zrpc/config.go;zrpc/internal/balancer/p2c/p2c.go;zrpc/internal/client.go;zrpc/internal/rpcpubserver.go;zrpc/internal/rpcserver.go;zrpc/internal/server.go;zrpc/internal/serverinterceptors/breakerinterceptor.go;zrpc/server.go
M025,Threading and Concurrency Utilities,Feature,2ccef5b;3315e60;a1bacd3,"This milestone adds threading utilities including ScheduleImmediately in TaskRunner, stable runner performance tuning, and concurrent runner with ordered message processing.",0.85,147,2024-02-06T06:26:22+00:00,2025-02-26T19:19:24+08:00,149,148,1,147,0,,core/threading/stablerunner.go;core/threading/taskrunner.go
M026,Configuration System Improvements,Quality,12071d1;9aebba1;e6d1b47;9d9c7e0,"This milestone improves the configuration system with map required support, multi-layer map fixes, and k8s build tag option for binary size reduction.",0.82,32,2024-08-20T19:53:20+08:00,2025-01-22T07:10:47+00:00,44,33,11,27,5,,core/conf/config.go;core/mapping/unmarshaler.go;zrpc/resolver/internal/kubebuilder.go;zrpc/resolver/internal/register.go;zrpc/resolver/internal/register_k8s.go;zrpc/resolver/internal/resolver.go
M027,Lua Scripts and Limits Refactoring,Quality,62c88a8;e9dc96a,"This milestone migrates embedded Lua scripts to separate files for bloom filters, period limits, and token limits, improving maintainability and enabling easier script customization.",0.85,156,2024-04-17T15:20:10+00:00,2024-04-17T23:37:35+08:00,232,127,105,86,70,,core/bloom/bloom.go;core/bloom/setscript.lua;core/bloom/testscript.lua;core/limit/periodlimit.go;core/limit/periodscript.lua;core/limit/tokenlimit.go;core/limit/tokenscript.lua;core/stores/redis/delscript.lua;core/stores/redis/lockscript.lua;core/stores/redis/redislock.go
M028,Miscellaneous Fixes and Improvements,Maintenance,22c98be;ba1d6e3;5fbe8ff;c02fb3a;4905594;6f3d094;077b607;247985a;48d21ef;560c616;2ec7e43;a2b98db;d80761c;a435eb5;870e835;b53f9f5;68c5a17;8a1b2d5;d9df08b;052de3b;fa85c84;df9a526;0ba86b1;0eec33f;a81d898;1c9d339;ec989b2;e7bd0d8;94562de;6a988dc;44504e8;6a0672b;790302b;e89e2d8;acd2b94;6a0c804;cdd0685;4e3f177;9de04ee;d68cf49;e38036c;f113d51,"This milestone contains miscellaneous fixes including typo corrections, test additions, coding style improvements, documentation updates, retry improvements, and platform compatibility fixes.",0.75,447,2023-12-09T22:52:06+08:00,2025-11-16T11:27:17+00:00,903,502,401,282,165,,core/bloom/bloom.go;core/breaker/breaker.go;core/discov/internal/etcdclient_mock.go;core/discov/internal/statewatcher_mock.go;core/discov/internal/updatelistener_mock.go;core/filex/file.go;core/fx/retry.go;core/fx/stream.go;core/hash/consistenthash.go;core/hash/hash.go;core/logx/rotatelogger.go;core/mapping/marshaler.go;core/mapping/unmarshaler.go;core/mapping/utils.go;core/mathx/unstable.go;core/mr/mapreduce.go;core/proc/shutdown+polyfill.go;core/proc/shutdown.go;core/stat/alert.go;core/stores/builder/builder.go;core/stores/dbtest/sql.go;core/stores/sqlx/bulkinserter.go;core/stores/sqlx/sqlmanager.go;core/stringx/strings.go;core/syncx/immutableresource.go;core/syncx/once.go;gateway/internal/eventhandler.go;internal/devserver/server.go;internal/health/health.go;rest/engine.go;rest/handler/loghandler.go;rest/handler/timeouthandler.go;rest/httpc/requests.go;rest/httpx/requests.go;rest/server.go;zrpc/internal/balancer/p2c/p2c.go;zrpc/internal/serverinterceptors/statinterceptor.go;zrpc/resolver/internal/discovbuilder.go;zrpc/resolver/internal/kube/eventhandler.go;zrpc/resolver/internal/kubebuilder.go
M029,MCP Server SDK,Feature,b251ce3;69aa7fe;292a830;d4cccca;91c885b,"This milestone introduces the Model Context Protocol (MCP) server SDK for go-zero, providing a standardized interface for AI model integration. The initial implementation (b251ce3) establishes the core MCP server infrastructure including configuration, server lifecycle management, request/response types, and utility functions. Subsequent commits improve the SDK with enhanced parsing capabilities (69aa7fe), optimization of server handling (292a830), a fix for request ID type handling to support non-integer IDs (d4cccca), and comprehensive unit test coverage (91c885b). The feature creates a new mcp/ package with server.go, config.go, types.go, parser.go, util.go, and vars.go.",0.92,1579,2025-04-27T15:06:37+00:00,2025-06-07T12:41:57+00:00,2897,2673,224,1579,0,,mcp/config.go;mcp/parser.go;mcp/readme.md;mcp/server.go;mcp/types.go;mcp/util.go;mcp/vars.go
