id,title,category,commits,mini_srs,confidence_score,src_loc,start_time,end_time,loc,additions,deletions,src_additions,src_deletions,touched_test_files,touched_src_files
milestone_seed_75970fd_1,Fix parallel argument processing order,Quality,75970fd,This milestone fixes the order in which command line arguments are processed during parallel searches. Previously when searching in parallel with many more arguments than threads the first arguments were searched last due to LIFO stack processing combined with round-robin distribution. The fix reverses the input order before distribution so the two reversals cancel out.,0.91,5,2025-09-19T21:08:19-04:00,2025-09-19T21:08:19-04:00,7,6,1,4,1,,crates/ignore/src/walk.rs
milestone_seed_8c6595c_1,Fix performance bugs with -A/--after-context flag,Quality,8c6595c;d4b77a8,This milestone fixes two related performance bugs with the -A/--after-context flag in the grep-searcher crate. Commit 8c6595c addresses an exponential slowdown when searching stdin with large after-context values. Commit d4b77a8 is a follow-up optimization that changes context_start calculation to use before_context instead of max_context() skipping the costly line-preceding step when before_context==0.,0.95,27,2025-10-14T14:27:43-04:00,2025-10-14T14:27:43-04:00,33,22,11,18,9,,crates/searcher/src/line_buffer.rs;crates/searcher/src/searcher/core.rs;crates/searcher/src/searcher/glue.rs
milestone_seed_a6e0be3_1_sub-01,Max Matches Searcher Migration Core,Breaking,a6e0be3;fdea972,This sub-milestone performs the core architectural migration of max_matches limit handling from grep-printer to grep-searcher crate. Commit a6e0be3 adds max_matches to SearcherBuilder and removes the related logic from Standard printer. Commit fdea972 adds documentation clarifying edge cases where max-count may print more matches than specified. This is a breaking change for grep-printer.,0.90,240,2025-09-19T21:08:19-04:00,2025-09-22T22:12:15-04:00,434,313,121,142,98,tests/regression.rs,crates/core/flags/defs.rs;crates/core/flags/hiargs.rs;crates/printer/src/standard.rs;crates/searcher/src/searcher/core.rs;crates/searcher/src/searcher/glue.rs;crates/searcher/src/searcher/mod.rs
milestone_seed_a6e0be3_1_sub-02,Max Matches Printer Cleanup,Breaking,9d8016d,This sub-milestone completes the removal of max_matches from the grep-printer crate by removing the max_matches configuration from JSON and Summary printers. This cleanup is the final step in the architectural migration to grep-searcher and fixes issue #3076.,0.90,108,2025-10-04T09:19:53-04:00,2025-10-04T09:19:53-04:00,118,10,108,5,103,,crates/core/flags/hiargs.rs;crates/printer/src/json.rs;crates/printer/src/summary.rs
milestone_seed_a60e62d_1,Rust 2024 Edition Migration,Breaking,a60e62d,This milestone migrates all ripgrep crates from Rust edition 2021 to 2024 to enable newer Rust features such as let chains. The migration involves updating the edition field in all crate Cargo.toml files and adapting code patterns to comply with Rust 2024 style changes such as removing redundant ref keywords in match patterns.,0.95,28,2025-09-19T21:08:19-04:00,2025-09-19T21:08:19-04:00,30,15,15,14,14,,crates/cli/Cargo.toml;crates/core/flags/hiargs.rs;crates/globset/Cargo.toml;crates/grep/Cargo.toml;crates/ignore/Cargo.toml;crates/matcher/Cargo.toml;crates/pcre2/Cargo.toml;crates/printer/Cargo.toml;crates/printer/src/hyperlink/mod.rs;crates/regex/Cargo.toml;crates/regex/src/ban.rs;crates/searcher/Cargo.toml
milestone_seed_53279db_1,Switch to tikv-jemallocator Dependency,Maintenance,53279db,This milestone replaces the deprecated jemallocator crate with tikv-jemallocator for the jemalloc allocator used on 64-bit musl targets. The change addresses compilation issues on riscv64gc-unknown-linux-musl platforms and aligns with the current recommended jemalloc crate.,0.95,2,2025-09-19T21:08:19-04:00,2025-09-19T21:08:19-04:00,48,24,24,1,1,,crates/core/main.rs
milestone_seed_99fe884_1,Add Highlight Color Type for Matching Lines,Feature,99fe884,This milestone adds a new highlight color type to the --colors flag that enables users to apply distinct styling to non-matching text within matching lines. The feature is implemented across three files: crates/core/flags/defs.rs crates/printer/src/color.rs and crates/printer/src/standard.rs.,0.90,96,2025-09-19T21:08:19-04:00,2025-09-19T21:08:19-04:00,102,86,16,82,14,,crates/core/flags/defs.rs;crates/printer/src/color.rs;crates/printer/src/standard.rs
milestone_seed_bf63fe8_1,Add as_match Method to Captures Trait,Feature,bf63fe8,This milestone adds a convenience method as_match() to the Captures trait in the grep-matcher crate. The method returns the overall match for a capture equivalent to self.get(0).unwrap() providing a cleaner API for accessing the full match without explicit indexing.,0.95,9,2024-09-19T09:30:31-04:00,2024-09-19T09:30:31-04:00,9,9,0,9,0,,crates/matcher/src/lib.rs
maintenance_releases_1,Crate Version Releases,Maintenance,064b36b;087f822;4aafe45;70ae735;7397ab7;a0d61a0;a5ba50c;ca2e34f;de4baa1;e523c6b,This milestone consolidates all crate version release commits. Includes globset-0.4.16 and 0.4.17 - grep-searcher-0.1.15 - grep-cli-0.1.12 - ignore-0.4.24 - grep-pcre2-0.1.9 - grep-printer-0.3.0 - grep-matcher-0.1.8 - grep-0.4.0 - grep-regex-0.1.14. These are version bumps for semver-compatible and semver-incompatible releases.,0.85,20,2025-02-27T12:46:58-05:00,2025-10-15T23:06:34-04:00,42,21,21,10,10,,crates/cli/Cargo.toml;crates/globset/Cargo.toml;crates/grep/Cargo.toml;crates/ignore/Cargo.toml;crates/matcher/Cargo.toml;crates/pcre2/Cargo.toml;crates/printer/Cargo.toml;crates/regex/Cargo.toml;crates/searcher/Cargo.toml
maintenance_deps_1,Dependency Updates,Maintenance,19c2a6e;6dfaec0;720376e;a3a3089;a766f79;c22fc0f;cf1dab0,This milestone consolidates dependency update commits. Includes bumping internal crate dependencies (globset - grep-matcher - grep-pcre2 - grep-cli - grep-searcher - grep-regex) and external dependencies (crossbeam-channel 0.5.13 to 0.5.15).,0.85,30,2025-04-10T10:55:32-04:00,2025-10-15T23:02:59-04:00,34,17,17,15,15,,crates/cli/Cargo.toml;crates/grep/Cargo.toml;crates/ignore/Cargo.toml;crates/pcre2/Cargo.toml;crates/printer/Cargo.toml;crates/regex/Cargo.toml;crates/searcher/Cargo.toml
maintenance_types_1,File Type Definition Additions,Maintenance,004370b;06210b3;380809f;3f565b5;5566236;56d03a1;5be67c1;5fbc4fe;6244e63;6887122;72a1303;75e17fc;7c004f2;83d9467;9ec0852;b0c6d4c;ba23ced;e166f27;e83828f,This milestone consolidates file type definition additions to the ignore crate. Adds support for Seed7 - .env/sh - Makefile.* - Qt resources - GDScript - Terraform - msbuild - Kconfig - ColdFusion/BoxLang - typst - devicetree dtso - bazel WORKSPACE.bzlmod - LLVM - lowercase R extensions - Svelte TypeScript - scdoc - Gleam - Ruby rake files.,0.85,35,2025-04-07T08:51:22-04:00,2025-10-14T15:15:07-04:00,36,24,12,23,12,,crates/ignore/src/default_types.rs
maintenance_docs_1,Documentation Updates,Docs,1b07c66;6e77339;74959a1;99b7957;c007d89;c45ec16;e42432c;f0faa91,This milestone consolidates documentation improvements. Clarifies -c/--count inconsistency - resolve_binary docs - man page hyphen escaping - require_git(false) behavior - .git hidden flag coverage - multiline count behavior - WalkBuilder::filter_entry - --ignore-file precedence.,0.85,76,2025-09-19T21:08:19-04:00,2025-10-10T22:06:59-04:00,80,61,19,57,19,tests/binary.rs;tests/regression.rs,crates/cli/src/decompress.rs;crates/core/flags/defs.rs;crates/core/flags/doc/man.rs;crates/ignore/src/walk.rs
maintenance_style_1,Code Style and Refactoring,Maintenance,5e2d32f;861f6d3;bb8172f;a7b7d81;90a680a;ab4665a,This milestone consolidates code style and refactoring commits. Includes rustfmt 2024 formatting - simplified string formatting - Clippy lint fixes - atomic ordering simplification - removal of __Nonexhaustive work-around - minor code simplifications in printer.,0.85,196,2025-09-19T21:08:19-04:00,2025-09-21T09:15:48-04:00,229,87,142,71,125,tests/feature.rs;tests/json.rs;tests/misc.rs;tests/regression.rs;tests/util.rs,crates/cli/src/decompress.rs;crates/cli/src/hostname.rs;crates/cli/src/lib.rs;crates/core/flags/complete/fish.rs;crates/core/flags/complete/powershell.rs;crates/core/flags/config.rs;crates/core/flags/defs.rs;crates/core/flags/doc/help.rs;crates/core/flags/doc/man.rs;crates/core/flags/doc/version.rs;crates/core/flags/hiargs.rs;crates/core/flags/mod.rs;crates/core/flags/parse.rs;crates/core/messages.rs;crates/core/search.rs;crates/globset/src/glob.rs;crates/globset/src/lib.rs;crates/globset/src/pathutil.rs;crates/ignore/src/dir.rs;crates/ignore/src/gitignore.rs;crates/ignore/src/lib.rs;crates/ignore/src/overrides.rs;crates/ignore/src/types.rs;crates/ignore/src/walk.rs;crates/matcher/src/interpolate.rs;crates/printer/src/json.rs;crates/printer/src/jsont.rs;crates/printer/src/lib.rs;crates/printer/src/standard.rs;crates/printer/src/summary.rs;crates/printer/src/util.rs;crates/regex/src/config.rs;crates/regex/src/literal.rs;crates/regex/src/matcher.rs;crates/regex/src/strip.rs;crates/searcher/src/lib.rs;crates/searcher/src/searcher/glue.rs;crates/searcher/src/searcher/mod.rs
maintenance_fixes_1_sub-01,Critical Bug Fixes,Maintenance,126bbea;9164158;6f39f83;52115ab;519c1bd;79f5a5a,This sub-milestone contains higher-impact bug fixes and enhancements. Includes: summary printer has_match fix (126bbea) - replacement panic fix (9164158) - --stats for --json support (6f39f83) - GlobSet::empty const and Candidate::from_bytes additions.,0.85,158,2025-09-19T21:08:19-04:00,2025-10-12T16:31:20-04:00,232,191,41,122,36,tests/regression.rs,crates/core/flags/defs.rs;crates/core/flags/hiargs.rs;crates/core/search.rs;crates/globset/Cargo.toml;crates/globset/src/glob.rs;crates/globset/src/lib.rs;crates/printer/src/summary.rs
maintenance_fixes_1_sub-02,Minor Fixes and Enhancements,Maintenance,163ac15;33b4481;4836284;4ab1862;4df1298;63209ae;64174b8;8b5d3d1;c93fc79;d199058;d869038;da672f8;de2567a;e2362d4;edafb61;f722268,This sub-milestone contains smaller bug fixes and minor enhancements. Includes: decompression reader optimization (64174b8) - BOM handling fix - bytes searched stats fix - trailing dot in filenames fix - --crlf --replace line terminator fix - -l with --pcre2 --multi fix - encoding log message - fish completions config - compact Debug impl - italic color style - multithreading heuristic - rg -vf behavior.,0.85,141,2025-01-25T14:27:00-05:00,2025-10-15T21:21:20-04:00,215,181,34,112,29,tests/regression.rs,crates/core/flags/complete/fish.rs;crates/core/flags/defs.rs;crates/core/flags/hiargs.rs;crates/core/main.rs;crates/globset/src/lib.rs;crates/globset/src/pathutil.rs;crates/ignore/src/gitignore.rs;crates/ignore/src/walk.rs;crates/pcre2/src/matcher.rs;crates/printer/src/color.rs;crates/printer/src/json.rs;crates/printer/src/standard.rs;crates/printer/src/summary.rs;crates/printer/src/util.rs;crates/searcher/src/line_buffer.rs;crates/searcher/src/searcher/glue.rs;crates/searcher/src/searcher/mod.rs
