id,title,category,commits,integration_test_commit,mini_srs,confidence_score,src_loc,start_time,end_time,loc,additions,deletions,src_additions,src_deletions,touched_test_files,touched_src_files
M010,Bouncy Castle JDK18 Security Upgrade,Security,6939e3c,,Upgrades Bouncy Castle cryptographic library to JDK 18+ compatible versions and updates from version 1.78 to 1.81. Switches from legacy bcprov-jdk15on and bcpkix-jdk15on artifacts to modern bcprov-jdk18on and bcpkix-jdk18on. Removes deprecated bcprov-ext-jdk15on dependency. Changes affect dubbo-plugin/dubbo-security module's POM file only. This security-critical upgrade ensures compatibility with modern Java runtimes JDK 18+ and includes security patches from Bouncy Castle 1.81 release. Essential for maintaining TLS/SSL security operations in Dubbo's security plugin.,0.95,8,2025-06-09T16:12:45+08:00,2025-06-09T16:12:45+08:00,19,5,14,2,6,,dubbo-plugin/dubbo-security/pom.xml
M011,Logging FQCN Infrastructure Enhancement,Quality,71f7600,,Enhances the Dubbo logging infrastructure by implementing customized FQCN (Fully Qualified Class Name) support across all major logging adapters (Log4j Log4j2 SLF4J). This improvement enables accurate log source tracking and proper stack trace reporting in production environments. The changes modify FluentLoggerImpl LoggerAdapter LoggerFactory and all concrete logger implementations to accept and utilize FQCN parameters for precise caller identification. Testing is verified through existing logger unit tests and integration tests.,0.95,271,2025-06-12T21:51:34+08:00,2025-06-12T21:51:34+08:00,271,193,78,193,78,,dubbo-common/src/main/java/org/apache/dubbo/common/logger/FluentLoggerImpl.java;dubbo-common/src/main/java/org/apache/dubbo/common/logger/LoggerAdapter.java;dubbo-common/src/main/java/org/apache/dubbo/common/logger/LoggerFactory.java;dubbo-common/src/main/java/org/apache/dubbo/common/logger/log4j/Log4jLogger.java;dubbo-common/src/main/java/org/apache/dubbo/common/logger/log4j/Log4jLoggerAdapter.java;dubbo-common/src/main/java/org/apache/dubbo/common/logger/log4j2/Log4j2Logger.java;dubbo-common/src/main/java/org/apache/dubbo/common/logger/log4j2/Log4j2LoggerAdapter.java;dubbo-common/src/main/java/org/apache/dubbo/common/logger/slf4j/Slf4jLogger.java;dubbo-common/src/main/java/org/apache/dubbo/common/logger/slf4j/Slf4jLoggerAdapter.java
M012,Tracing and Metrics Infrastructure Improvements,Quality,da3ed53;d3b1e1f;1e070b5;62717d8;3515095;34c3468;afd1072,,Improves Dubbo tracing and metrics infrastructure through multiple enhancements and bugfixes. Core improvement decouples micrometer from mandatory tracing dependencies by introducing ObservationMeter abstraction (da3ed53) enabling optional integration. Fixes Zipkin integration through dependency additions (d3b1e1f) and BytesEncoder type resolution (1e070b5). Addresses tracing bugs including baggage propagation error (62717d8) ClassCastException in observation handlers (3515095) NaN handling in metrics digest (34c3468) and MetricsEventBus null safety (afd1072). Changes span dubbo-metrics and dubbo-tracing modules with backward compatible fixes. Testing validated through existing tracing integration tests and metrics unit tests.,0.88,123,2025-02-10T09:38:57+08:00,2025-07-27T11:39:45+08:00,129,94,35,88,35,,dubbo-metrics/dubbo-metrics-api/src/main/java/org/apache/dubbo/metrics/aggregate/DubboMergingDigest.java;dubbo-metrics/dubbo-metrics-event/src/main/java/org/apache/dubbo/metrics/event/MetricsEventBus.java;dubbo-metrics/dubbo-tracing/src/main/java/org/apache/dubbo/tracing/DubboObservationRegistry.java;dubbo-metrics/dubbo-tracing/src/main/java/org/apache/dubbo/tracing/context/DubboServerContext.java;dubbo-metrics/dubbo-tracing/src/main/java/org/apache/dubbo/tracing/handler/DubboClientTracingObservationHandler.java;dubbo-metrics/dubbo-tracing/src/main/java/org/apache/dubbo/tracing/handler/DubboServerTracingObservationHandler.java;dubbo-metrics/dubbo-tracing/src/main/java/org/apache/dubbo/tracing/metrics/ObservationMeter.java;dubbo-spring-boot-project/dubbo-spring-boot-autoconfigure/src/main/java/org/apache/dubbo/spring/boot/autoconfigure/observability/zipkin/ZipkinAutoConfiguration.java;dubbo-spring-boot-project/dubbo-spring-boot-autoconfigure/src/main/java/org/apache/dubbo/spring/boot/autoconfigure/observability/zipkin/ZipkinConfigurations.java;dubbo-spring-boot-project/dubbo-spring-boot-starters/dubbo-tracing-brave-zipkin-spring-boot-starter/pom.xml
M013,Spring Boot Environment Variable Configuration Enhancement,Platform,24b638a,,"This milestone enhances Dubbo's Spring Boot integration by adding support for environment variable keys with hyphens and dots, enabling both legacy (DUBBO_PROTOCOL_NAME) and Spring Boot style (dubbo.protocol.name) naming conventions. The enhancement modifies EnvironmentConfiguration in dubbo-common to generate multiple candidate key formats and check them in priority order. This improvement is critical for Kubernetes and container deployments where environment variables are the primary configuration mechanism, and it maintains full backward compatibility with existing configurations. Testing can be verified by setting environment variables using different naming patterns (dots, hyphens, underscores, mixed case) and confirming they are correctly resolved.",0.92,51,2025-06-03T17:27:35+08:00,2025-06-03T17:27:35+08:00,51,42,9,42,9,,dubbo-common/src/main/java/org/apache/dubbo/common/config/EnvironmentConfiguration.java
M014,Java 21 Virtual Thread Pool Auto-configuration,Platform,a972d85,,This milestone adds automatic configuration support for Java 21 virtual threads (Project Loom) in Dubbo's thread pool management when running under Spring Boot. The enhancement modifies DubboDefaultPropertiesEnvironmentPostProcessor to detect when Spring's virtual thread support is enabled (spring.threads.virtual.enabled=true) and automatically configure Dubbo's protocol thread pool to use virtual threads (dubbo.protocol.threadpool=virtual). This enables seamless integration of Java 21's lightweight virtual threads for improved concurrency and resource utilization in high-throughput scenarios. The auto-configuration eliminates manual configuration steps and ensures consistent thread pool behavior between Spring Boot and Dubbo components. Testing can be verified by enabling Spring virtual threads and confirming Dubbo protocol thread pools are automatically configured to use virtual thread executors.,0.90,16,2025-03-14T21:37:17+08:00,2025-03-14T21:37:17+08:00,16,16,0,16,0,,dubbo-spring-boot-project/dubbo-spring-boot/src/main/java/org/apache/dubbo/spring/boot/env/DubboDefaultPropertiesEnvironmentPostProcessor.java
M015,Dependency Version Updates - Third Party Libraries,Maintenance,712c97d;bf184bf;67afea0;5c5e7f4;1690e5f;317bee1;e87de04;aa17dc4;33d178b;4568ab2;7a4b353;5175e03;f76b4bf;f4cf48a;da5e6e4;a45f98e;eba7f47;ea320b3,,"Consolidates all third-party dependency version bumps and upgrades for Dubbo 3.3. Includes updates to Swagger UI, Swagger Annotations, Redoc, Apollo MockServer, TestContainers, and other supporting libraries. These updates ensure security patches, bug fixes, and compatibility improvements from upstream dependencies are incorporated into the Dubbo codebase. All updates follow semantic versioning principles and are backward compatible within their respective modules.",0.85,36,2025-01-28T22:04:26+08:00,2025-05-29T09:58:49+08:00,42,21,21,18,18,,dubbo-config/dubbo-config-api/pom.xml;dubbo-config/dubbo-config-spring/pom.xml;dubbo-configcenter/dubbo-configcenter-apollo/pom.xml;dubbo-plugin/dubbo-rest-openapi/pom.xml;dubbo-remoting/dubbo-remoting-zookeeper-curator5/pom.xml
M016.1,RPC and Remoting Bug Fixes,Quality,82274d9;d4c1fb3;d6b11cf;731612b;d2c0478;629baf7;a7b641f;bcd3fc9;e140c06;c8a8946,,"Bug fixes for RPC and remoting layer including Triple protocol streaming support, gRPC URL handling, channel handler lifecycle management, charset parsing, resource leak prevention, and ConsistentHashSelector concurrency optimization.",0.82,496,2025-01-06T10:55:17+08:00,2025-09-26T14:32:14+08:00,499,338,161,337,159,,dubbo-cluster/src/main/java/org/apache/dubbo/rpc/cluster/loadbalance/ConsistentHashLoadBalance.java;dubbo-common/src/main/java/org/apache/dubbo/common/utils/UrlUtils.java;dubbo-common/src/main/java/org/apache/dubbo/rpc/model/MethodDescriptor.java;dubbo-common/src/main/java/org/apache/dubbo/rpc/model/ReflectionMethodDescriptor.java;dubbo-common/src/main/java/org/apache/dubbo/rpc/model/StubMethodDescriptor.java;dubbo-metadata/dubbo-metadata-api/src/main/java/org/apache/dubbo/metadata/aot/MetadataProxyDescriberRegistrar.java;dubbo-metadata/dubbo-metadata-api/src/main/java/org/apache/dubbo/metadata/aot/MetadataReflectionTypeDescriberRegistrar.java;dubbo-plugin/dubbo-native/src/main/java/org/apache/dubbo/aot/generate/JarScanner.java;dubbo-plugin/dubbo-rest-spring/src/main/java/org/apache/dubbo/rpc/protocol/tri/rest/support/spring/RestSpringScopeModelInitializer.java;dubbo-plugin/dubbo-rest-spring/src/main/resources/META-INF/dubbo/internal/org.apache.dubbo.rpc.model.ScopeModelInitializer;dubbo-registry/dubbo-registry-api/src/main/java/org/apache/dubbo/registry/RegistryScopeModelInitializer.java;dubbo-registry/dubbo-registry-api/src/main/java/org/apache/dubbo/registry/client/metadata/MetadataUtils.java;dubbo-remoting/dubbo-remoting-api/src/main/java/org/apache/dubbo/remoting/api/pu/AbstractPortUnificationServer.java;dubbo-remoting/dubbo-remoting-api/src/main/java/org/apache/dubbo/remoting/exchange/codec/ExchangeCodec.java;dubbo-remoting/dubbo-remoting-api/src/main/java/org/apache/dubbo/remoting/exchange/support/header/AbstractTimerTask.java;dubbo-remoting/dubbo-remoting-api/src/main/java/org/apache/dubbo/remoting/exchange/support/header/CloseTimerTask.java;dubbo-remoting/dubbo-remoting-api/src/main/java/org/apache/dubbo/remoting/exchange/support/header/HeartbeatTimerTask.java;dubbo-remoting/dubbo-remoting-api/src/main/java/org/apache/dubbo/remoting/exchange/support/header/ReconnectTimerTask.java;dubbo-remoting/dubbo-remoting-api/src/main/java/org/apache/dubbo/remoting/transport/AbstractClient.java;dubbo-remoting/dubbo-remoting-api/src/main/java/org/apache/dubbo/remoting/transport/MultiMessageHandler.java;dubbo-remoting/dubbo-remoting-http12/src/main/java/org/apache/dubbo/remoting/http12/HttpUtils.java;dubbo-remoting/dubbo-remoting-http12/src/main/java/org/apache/dubbo/remoting/http12/message/DefaultHttpRequest.java;dubbo-remoting/dubbo-remoting-http12/src/main/java/org/apache/dubbo/remoting/http12/message/DefaultHttpResponse.java;dubbo-remoting/dubbo-remoting-http3/src/main/java/org/apache/dubbo/remoting/http3/netty4/NettyHttp3FrameCodec.java;dubbo-remoting/dubbo-remoting-http3/src/main/java/org/apache/dubbo/remoting/transport/netty4/NettyHttp3Server.java;dubbo-remoting/dubbo-remoting-netty/src/main/java/org/apache/dubbo/remoting/transport/netty/NettyPortUnificationServer.java;dubbo-remoting/dubbo-remoting-netty/src/main/java/org/apache/dubbo/remoting/transport/netty/NettyServer.java;dubbo-remoting/dubbo-remoting-netty4/src/main/java/org/apache/dubbo/remoting/transport/netty4/AbstractNettyConnectionClient.java;dubbo-remoting/dubbo-remoting-netty4/src/main/java/org/apache/dubbo/remoting/transport/netty4/NettyConnectionHandler.java;dubbo-remoting/dubbo-remoting-netty4/src/main/java/org/apache/dubbo/remoting/transport/netty4/NettyPortUnificationServer.java;dubbo-remoting/dubbo-remoting-netty4/src/main/java/org/apache/dubbo/remoting/transport/netty4/NettyServer.java;dubbo-rpc/dubbo-rpc-triple/src/main/java/org/apache/dubbo/rpc/TriRpcStatus.java;dubbo-rpc/dubbo-rpc-triple/src/main/java/org/apache/dubbo/rpc/protocol/tri/ReflectionPackableMethod.java;dubbo-rpc/dubbo-rpc-triple/src/main/java/org/apache/dubbo/rpc/protocol/tri/TriHttp2RemoteFlowController.java;dubbo-rpc/dubbo-rpc-triple/src/main/java/org/apache/dubbo/rpc/protocol/tri/TripleInvoker.java;dubbo-rpc/dubbo-rpc-triple/src/main/java/org/apache/dubbo/rpc/protocol/tri/h12/AbstractServerTransportListener.java;dubbo-rpc/dubbo-rpc-triple/src/main/java/org/apache/dubbo/rpc/protocol/tri/h12/grpc/GrpcUtils.java;dubbo-rpc/dubbo-rpc-triple/src/main/java/org/apache/dubbo/rpc/protocol/tri/h3/Http3ClientFrameCodec.java;dubbo-rpc/dubbo-rpc-triple/src/main/java/org/apache/dubbo/rpc/protocol/tri/stream/AbstractTripleClientStream.java;dubbo-rpc/dubbo-rpc-triple/src/main/java/org/apache/dubbo/rpc/protocol/tri/transport/GracefulShutdown.java
M017,Code Merge and Branch Integration,Maintenance,6312f14;8e108df;af2625c;bd128b5;f95de5f;2af3a91,,"Contains branch merge commits integrating changes from apache-3.2 into apache-3.3 branch. These commits synchronize fixes and improvements from the LTS branch into the main development line, resolving merge conflicts and ensuring compatibility between version branches.",0.90,239,2025-02-13T18:56:44+08:00,2025-05-29T14:33:09+08:00,242,193,49,193,46,,dubbo-common/src/main/java/org/apache/dubbo/common/ssl/CertManager.java;dubbo-common/src/main/java/org/apache/dubbo/common/ssl/CertProvider.java;dubbo-registry/dubbo-registry-api/src/main/java/org/apache/dubbo/registry/client/ServiceDiscoveryRegistryDirectory.java;dubbo-registry/dubbo-registry-api/src/main/java/org/apache/dubbo/registry/integration/RegistryDirectory.java;dubbo-registry/dubbo-registry-nacos/src/main/java/org/apache/dubbo/registry/nacos/NacosNamingServiceWrapper.java;dubbo-registry/dubbo-registry-nacos/src/main/java/org/apache/dubbo/registry/nacos/NacosRegistry.java;dubbo-remoting/dubbo-remoting-api/src/main/java/org/apache/dubbo/remoting/Constants.java;dubbo-remoting/dubbo-remoting-api/src/main/java/org/apache/dubbo/remoting/api/pu/AbstractPortUnificationServer.java;dubbo-remoting/dubbo-remoting-api/src/main/java/org/apache/dubbo/remoting/transport/AbstractServer.java;dubbo-remoting/dubbo-remoting-netty/src/main/java/org/apache/dubbo/remoting/transport/netty/NettyPortUnificationServer.java;dubbo-remoting/dubbo-remoting-netty4/src/main/java/org/apache/dubbo/remoting/transport/netty4/NettyChannel.java;dubbo-remoting/dubbo-remoting-netty4/src/main/java/org/apache/dubbo/remoting/transport/netty4/NettyPortUnificationServer.java;dubbo-remoting/dubbo-remoting-netty4/src/main/java/org/apache/dubbo/remoting/transport/netty4/NettyPortUnificationServerHandler.java;dubbo-remoting/dubbo-remoting-netty4/src/main/java/org/apache/dubbo/remoting/transport/netty4/NettyServerHandler.java;dubbo-remoting/dubbo-remoting-netty4/src/main/java/org/apache/dubbo/remoting/transport/netty4/ssl/SslClientTlsHandler.java;dubbo-remoting/dubbo-remoting-netty4/src/main/java/org/apache/dubbo/remoting/transport/netty4/ssl/SslServerTlsHandler.java;dubbo-rpc/dubbo-rpc-dubbo/src/main/java/org/apache/dubbo/rpc/protocol/dubbo/DecodeableRpcInvocation.java;dubbo-rpc/dubbo-rpc-triple/pom.xml;dubbo-rpc/dubbo-rpc-triple/src/main/java/org/apache/dubbo/rpc/protocol/tri/TripleInvoker.java;dubbo-rpc/dubbo-rpc-triple/src/main/java/org/apache/dubbo/rpc/protocol/tri/stream/AbstractTripleClientStream.java;dubbo-rpc/dubbo-rpc-triple/src/main/java/org/apache/dubbo/rpc/protocol/tri/stream/Stream.java;dubbo-serialization/dubbo-serialization-fastjson2/src/main/java/org/apache/dubbo/common/serialize/fastjson2/Fastjson2ScopeModelInitializer.java;dubbo-spring-boot-project/dubbo-spring-boot-starters/dubbo-zookeeper-curator5-spring-boot-starter/pom.xml
M018,Performance Optimizations,Quality,dfc6f3c;3771339;5bbf7ce,,"Consolidates performance optimization commits including client support for server-streaming endpoints without parameters, Wrapper#getWrapper improvements, and charset parsing method optimizations. These changes improve runtime efficiency and reduce resource consumption in hot code paths.",0.88,110,2025-03-03T09:59:05+08:00,2025-07-01T01:25:50+08:00,110,61,49,61,49,,dubbo-common/src/main/java/org/apache/dubbo/common/bytecode/Wrapper.java;dubbo-common/src/main/java/org/apache/dubbo/common/utils/SerializeSecurityConfigurator.java;dubbo-remoting/dubbo-remoting-http12/src/main/java/org/apache/dubbo/remoting/http12/HttpUtils.java;dubbo-remoting/dubbo-remoting-http12/src/main/java/org/apache/dubbo/remoting/http12/message/DefaultHttpRequest.java;dubbo-remoting/dubbo-remoting-http12/src/main/java/org/apache/dubbo/remoting/http12/message/DefaultHttpResponse.java
M019,Feature Enhancements - Minor Additions,Feature,f0dd47a;531a37a;e396bde;79683be;a225968;48b2389;7e06055;c831fef,,"Consolidates minor feature additions and enhancements including point-to-point network configuration options, MD5 checksum validation for metadata cache files, and various other capability improvements. These enhancements extend Dubbo functionality without introducing breaking changes.",0.85,445,2025-01-10T21:12:31+08:00,2025-08-14T19:48:50+08:00,454,291,163,282,163,,dubbo-common/src/main/java/org/apache/dubbo/common/constants/CommonConstants.java;dubbo-common/src/main/java/org/apache/dubbo/common/utils/NetUtils.java;dubbo-common/src/main/java/org/apache/dubbo/rpc/model/ModuleModel.java;dubbo-common/src/main/resources/security/serialize.allowlist;dubbo-config/dubbo-config-api/src/main/java/org/apache/dubbo/config/ServiceConfig.java;dubbo-config/dubbo-config-api/src/main/java/org/apache/dubbo/config/bootstrap/builders/InternalServiceConfigBuilder.java;dubbo-config/dubbo-config-api/src/main/java/org/apache/dubbo/config/metadata/ConfigurableMetadataServiceExporter.java;dubbo-metadata/dubbo-metadata-api/src/main/java/org/apache/dubbo/metadata/AbstractServiceNameMapping.java;dubbo-metadata/dubbo-metadata-api/src/main/java/org/apache/dubbo/metadata/MetadataInfo.java;dubbo-metadata/dubbo-metadata-api/src/main/java/org/apache/dubbo/metadata/report/support/AbstractMetadataReport.java;dubbo-metadata/dubbo-metadata-report-nacos/src/main/java/org/apache/dubbo/metadata/store/nacos/NacosMetadataReport.java;dubbo-plugin/dubbo-security/pom.xml;dubbo-registry/dubbo-registry-api/src/main/java/org/apache/dubbo/registry/client/ServiceDiscoveryRegistry.java;dubbo-registry/dubbo-registry-api/src/main/java/org/apache/dubbo/registry/client/metadata/MetadataServiceNameMapping.java;dubbo-registry/dubbo-registry-api/src/main/java/org/apache/dubbo/registry/client/metadata/MetadataUtils.java;dubbo-registry/dubbo-registry-api/src/main/java/org/apache/dubbo/registry/client/metadata/ServiceInstanceMetadataUtils.java;dubbo-registry/dubbo-registry-api/src/main/java/org/apache/dubbo/registry/integration/RegistryProtocol.java;dubbo-registry/dubbo-registry-api/src/main/java/org/apache/dubbo/registry/support/AbstractRegistry.java;dubbo-remoting/dubbo-remoting-api/src/main/java/org/apache/dubbo/remoting/api/WireProtocol.java;dubbo-remoting/dubbo-remoting-api/src/main/java/org/apache/dubbo/remoting/api/connection/ConnectionHandler.java;dubbo-remoting/dubbo-remoting-api/src/main/java/org/apache/dubbo/remoting/transport/AbstractServer.java;dubbo-remoting/dubbo-remoting-http3/pom.xml;dubbo-remoting/dubbo-remoting-netty4/src/main/java/org/apache/dubbo/remoting/transport/netty4/AbstractNettyConnectionClient.java;dubbo-remoting/dubbo-remoting-netty4/src/main/java/org/apache/dubbo/remoting/transport/netty4/NettyConnectionHandler.java;dubbo-rpc/dubbo-rpc-triple/pom.xml;dubbo-rpc/dubbo-rpc-triple/src/main/java/org/apache/dubbo/rpc/protocol/tri/TripleHttp2Protocol.java;dubbo-rpc/dubbo-rpc-triple/src/main/java/org/apache/dubbo/rpc/protocol/tri/transport/TripleHttp2SettingsHandler.java
M020,Test Infrastructure Cleanup,Maintenance,d8f5406;a828eb4,,Removes dubbo-test-check dependencies from dubbo-rpc and dubbo-remoting modules as part of test infrastructure cleanup. These changes simplify the build structure and reduce unnecessary test dependencies in production code paths.,0.90,76,2025-02-10T23:11:03+08:00,2025-06-23T15:41:42+08:00,76,36,40,36,40,,dubbo-metrics/pom.xml;dubbo-registry/pom.xml;dubbo-remoting/dubbo-remoting-api/pom.xml;dubbo-remoting/dubbo-remoting-http12/pom.xml;dubbo-remoting/dubbo-remoting-http3/pom.xml;dubbo-remoting/dubbo-remoting-netty/pom.xml;dubbo-remoting/dubbo-remoting-netty4/pom.xml;dubbo-remoting/dubbo-remoting-websocket/pom.xml;dubbo-remoting/dubbo-remoting-zookeeper-curator5/pom.xml;dubbo-remoting/pom.xml;dubbo-serialization/pom.xml
M021,Code Cleanup and Refactoring,Maintenance,e67e09a;dddeb25;e298731;9eeae4d,,"Consolidates code cleanup commits including duplicate dependency removal, unnecessary dependency elimination, thread factory group field cleanup, and OpenAPI plugin updates. These changes improve code quality and maintainability without functional changes.",0.88,55,2025-02-14T22:33:20+08:00,2025-07-25T09:45:19+08:00,55,5,50,5,50,,dubbo-common/src/main/java/org/apache/dubbo/common/url/component/URLParam.java;dubbo-plugin/dubbo-rest-openapi/pom.xml;dubbo-remoting/dubbo-remoting-api/pom.xml;dubbo-remoting/dubbo-remoting-http12/pom.xml;dubbo-remoting/dubbo-remoting-http3/pom.xml;dubbo-remoting/dubbo-remoting-netty/pom.xml;dubbo-remoting/dubbo-remoting-netty4/pom.xml;dubbo-remoting/dubbo-remoting-websocket/pom.xml;dubbo-rpc/dubbo-rpc-triple/pom.xml
M022,Triple Protocol Improvements,Feature,02c9cca;ed182c9,,Contains improvements specific to the Triple protocol RPC implementation including duplicate dependency removal and related optimizations. These changes enhance the Triple protocol performance and maintainability.,0.85,42,2025-05-08T09:46:22+08:00,2025-07-07T10:59:20+08:00,42,37,5,37,5,,dubbo-common/src/main/java/org/apache/dubbo/common/utils/NetUtils.java;dubbo-remoting/dubbo-remoting-netty/src/main/java/org/apache/dubbo/remoting/transport/netty/NettyPortUnificationServer.java;dubbo-remoting/dubbo-remoting-netty/src/main/java/org/apache/dubbo/remoting/transport/netty/NettyServer.java;dubbo-rpc/dubbo-rpc-triple/src/main/java/org/apache/dubbo/rpc/protocol/tri/TriplePathResolver.java;dubbo-rpc/dubbo-rpc-triple/src/main/java/org/apache/dubbo/rpc/protocol/tri/h3/Http3ClientFrameCodec.java
M024,Configuration Improvements,Quality,bc729af;d5e1412;0fc2e06,,"Contains fixes and improvements to Dubbo configuration handling including Spring Boot actuator configuration changes, RegistryConfig instance handling, and service registration timing improvements. These changes ensure more robust configuration processing.",0.85,81,2025-02-11T22:58:28+08:00,2025-07-29T09:37:41+08:00,120,33,87,33,48,,dubbo-common/src/main/java/org/apache/dubbo/common/convert/StringToDurationConverter.java;dubbo-common/src/main/java/org/apache/dubbo/common/deploy/ApplicationDeployer.java;dubbo-common/src/main/java/org/apache/dubbo/common/deploy/ModuleDeployer.java;dubbo-common/src/main/java/org/apache/dubbo/common/logger/helpers/FormattingTuple.java;dubbo-common/src/main/java/org/apache/dubbo/common/logger/helpers/MessageFormatter.java;dubbo-config/dubbo-config-api/src/main/java/org/apache/dubbo/config/ServiceConfig.java;dubbo-config/dubbo-config-api/src/main/java/org/apache/dubbo/config/deploy/DefaultApplicationDeployer.java;dubbo-config/dubbo-config-api/src/main/java/org/apache/dubbo/config/deploy/DefaultModuleDeployer.java;dubbo-config/dubbo-config-spring/src/main/java/org/apache/dubbo/config/spring/reference/ReferenceBeanManager.java;dubbo-config/dubbo-config-spring/src/main/java/org/apache/dubbo/config/spring/util/AnnotationUtils.java;dubbo-plugin/dubbo-native/src/main/java/org/apache/dubbo/aot/api/ExecutableMode.java;dubbo-plugin/dubbo-native/src/main/java/org/apache/dubbo/aot/api/MemberCategory.java;dubbo-plugin/dubbo-native/src/main/java/org/apache/dubbo/aot/generate/BasicJsonWriter.java;dubbo-spring-boot-project/dubbo-spring-boot-autoconfigure/src/main/java/org/apache/dubbo/spring/boot/autoconfigure/observability/ObservationHandlerGrouping.java
M025,Miscellaneous Fixes and Improvements,Maintenance,c58a699;437d38c;ace86c9;93cfa82;c393896;c5656dd;b5fca6f;ef5bf4a;e009417;8f2b4de,,"Contains miscellaneous bug fixes, improvements, and changes that span multiple modules or do not fit into specific feature categories. These include thread pool naming improvements, executor handling edge cases, and various other minor fixes that improve overall framework quality.",0.80,135,2025-02-13T18:49:33+08:00,2025-09-24T10:39:42+08:00,265,75,190,27,108,,dubbo-cluster/src/main/java/org/apache/dubbo/rpc/cluster/loadbalance/ConsistentHashLoadBalance.java;dubbo-common/src/main/java/org/apache/dubbo/common/threadlocal/NamedInternalThreadFactory.java;dubbo-common/src/main/java/org/apache/dubbo/common/threadpool/serial/SerializingExecutor.java;dubbo-common/src/main/java/org/apache/dubbo/common/utils/NamedThreadFactory.java;dubbo-common/src/main/java/org/apache/dubbo/common/utils/NetUtils.java;dubbo-common/src/main/java/org/apache/dubbo/common/utils/PojoUtils.java;dubbo-plugin/dubbo-auth/pom.xml;dubbo-plugin/dubbo-compiler/pom.xml;dubbo-plugin/dubbo-filter-cache/pom.xml;dubbo-plugin/dubbo-filter-validation/pom.xml;dubbo-plugin/dubbo-native/pom.xml;dubbo-plugin/dubbo-qos-api/pom.xml;dubbo-plugin/dubbo-qos/pom.xml;dubbo-plugin/dubbo-reactive/pom.xml;dubbo-plugin/dubbo-rest-jaxrs/pom.xml;dubbo-plugin/dubbo-rest-spring/pom.xml;dubbo-plugin/dubbo-security/pom.xml;dubbo-plugin/dubbo-spring-security/pom.xml;dubbo-plugin/dubbo-triple-servlet/pom.xml;dubbo-plugin/dubbo-triple-servlet/src/main/java/org/apache/dubbo/rpc/protocol/tri/servlet/HttpMetadataAdapter.java;dubbo-rpc/dubbo-rpc-api/src/main/java/org/apache/dubbo/rpc/AppResponse.java;dubbo-rpc/dubbo-rpc-api/src/main/java/org/apache/dubbo/rpc/RpcServiceContext.java;dubbo-spring-boot-project/dubbo-spring-boot-compatible/pom.xml;dubbo-spring-boot-project/dubbo-spring-boot/src/main/java/org/apache/dubbo/spring/boot/context/event/WelcomeLogoApplicationListener.java
